,Bacon,Current Price,Unit Price,Sale,Store Location,Url
23,Boar's Head Breakfast Turkey Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
24,Bilinski's Antibiotic Free Tomato Basil & Chicken Zesty Italian Style Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
25,Bilinski's Antibiotic Free Cajun Style Chicken & Peppers Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
26,Boar's Head Breakfast Chicken Sausage Links - 7 Ounce,$5.99,,$0.86/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
27,Boar's Head All Natural Robust Italian Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
28,Bilinski's Antibiotic Free Spinach & Chicken Garlic Seasoned Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
29,Boar's Head All Natural Honeycrisp Apple Chicken Sausages - 12 Ounce,$7.99,,$0.67/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
30,Boar's Head All Natural Chorizo Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
31,Boar's Head Hot Smoked Uncured Sausage - 16 Ounce,$7.99,,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
32,Beyond Meat Beyond Sausage Plant-based Original Brat Links - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
33,Bilinski's Organic Wild Mushrooms With Italian Herbs Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
34,Boar's Head Bratwurst - 16 Ounce,$8.29,,$0.52/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
35,Boar's Head All Natural Breakfast Pork Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
36,Beyond Meat Beyond Sausage Hot Italian Style Plant-based Sausages - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
37,Beddar Cheddar - 14 Ounce,$4.99,,$0.36/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
38,Applegate Naturals Do Good Dog Uncured Beef Hot Dogs 6ct - 10 Ounce,$7.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
39,Applegate Naturals Gluten Free Uncured Beef Corn Dogs - 10 Ounce,$7.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
40,Applegate Naturals Uncured Beef Hot Dog - 10 Ounce,$5.79,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
41,Applegate Naturals Uncured Turkey Hot Dogs - 10 Ounce,$5.99,,$0.60/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
42,Bilinski's Organic Spinach & Spring Greens Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
43,Bilinski's Antibiotic Free Cajun Style Chicken & Peppers Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
44,Beyond Meat Beyond Sausage Plant-based Original Brat Links - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
